security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags
000333.SHE,000333.SHE,NAME:mideagroupcoltd,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,CNY,"Furnishings, Fixtures & Appliances",0.0,0.0,Hold,71.40586758194387,71.40586758194387,91.53531397386955,71.23198834071337,74.32916666666668,85.54950311424149,0.35,0.0504,0.1915301483543236,-0.13785424938429314,0.35,0.7706931082049648,0.0047392303358715915,-0.06229632158814166,-0.06229632158814166,0.2501642942489318,0.2702724814172771,8.899474512591667,44.65567139232062,32.19595488278628,87.38417676407698,427706026.9678665,60,94144678368.21568,0.0504,0.06650385466659237,94.77432546976944,63.39903187461339,66.60926512986634,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
ALV.XETRA,ALV.XETRA,NAME:allianzsevnaon,Allianz SE VNA O.N.,Germany,DACH,Financials,EUR,Insurance - Diversified,0.0,0.0,Hold,70.44968496151667,70.44968496151667,79.36413806768674,80.67579392605944,82.20416666666668,86.71868425443364,0.35,0.0392,0.18776870897033549,-0.1281566215539368,0.35,0.7621295888882553,0.011476907310030815,-0.0542421408295866,-0.0542421408295866,0.24194115019254464,0.275480545374204,7.748877261369515,44.813817168929795,31.548839391509212,81.11190306486101,292144519.087274,60,188344719773.07162,0.0392,0.18963766990936481,42.50712758374911,86.35334186323452,70.885121430122,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
HIG.US,HIG.US,NAME:hartfordfinancialservicesgroup,Hartford Financial Services Group,United States,US,Financials,USD,Insurance - Diversified,0.0,0.0,Hold,69.36066289659607,69.36066289659607,82.32430506058446,77.59616236052904,50.4375,86.28947834408092,0.35,0.0167,0.19287713665688405,-0.14871264259502381,0.35,0.776329460372317,0.0016278274819715444,-0.06587917034793787,-0.06587917034793787,0.29360781685921133,0.27457639307045506,9.411310049705412,47.49154318516387,32.78047485696234,78.40342124019958,258442551.05999997,60,39614644224.0,0.0167,0.1452240733873516,42.50712758374911,84.30154185623391,68.04279766179056,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
HNR1.XETRA,HNR1.XETRA,NAME:hannoverrckse,Hannover Rück SE,Germany,DACH,Financials,EUR,Insurance - Reinsurance,0.0,0.0,Hold,68.21668181964769,68.21668181964769,81.77041034138594,74.01223893294907,56.77083333333333,84.07541813822725,0.35,0.050199999999999995,0.2046379744159414,-0.18035595278674976,0.35,0.8026047885442332,-0.019797375331037148,-0.09142066637661662,-0.09142066637661662,0.2513855946369891,0.2991376210829424,13.06009519665952,48.0520267592543,34.832922483441784,49.67925873129009,47025647.69141386,60,34428456928.03682,0.050199999999999995,0.19066002285022904,42.50712758374911,83.85728587730242,78.57483193753703,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
TRV.US,TRV.US,NAME:thetravelerscompaniesinc,The Travelers Companies Inc,United States,US,Financials,USD,Insurance - Property & Casualty,0.0,0.0,Avoid,68.20324367630312,68.20324367630312,80.30381325730578,76.39314924642701,66.45416666666668,81.00001336983581,0.35,0.0131,0.20705262595322768,-0.1775525421851647,0.35,0.8054447304772591,-0.023150856350886206,-0.09561927543451589,-0.09561927543451589,0.24194115019254464,0.2709097820934739,13.659896490645126,44.286421405768614,34.83421703467133,94.36920883820385,739266428.0,60,80509960192.0,0.0131,0.1317352533116006,42.50712758374911,85.22123700159734,52.346173287317214,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
1398.HK,1398.HK,NAME:industrialandcommercialbankofchina,Industrial and Commercial Bank of China,Hong Kong,Hong Kong,Financials,HKD,Banks - Diversified,0.0,0.0,Hold,66.44143676231792,66.44143676231792,92.47455172064686,84.5982036355734,56.77083333333333,81.44223886264008,0.35,0.048600000000000004,0.20414493138066558,-0.17545972616592154,0.35,0.8004995249397531,-0.018497614604274848,-0.0899483405875078,-0.0899483405875078,0.2513855946369891,0.2860649501857284,12.849762941072543,46.54364165572961,34.584812507089616,71.56094084105489,163330853.2496424,60,324459788835.064,0.048600000000000004,0.8469092837197859,42.50712758374911,94.1609955444621,81.86799653947558,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
AD.AS,AD.AS,NAME:koninklijkeaholddelhaizenv,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,EUR,Grocery Stores,0.0,0.0,Hold,65.87109137315406,65.87109137315406,68.30013331254234,74.5911802487548,82.20416666666668,86.28947834408092,0.35,0.0424,0.20748941537939083,-0.18470264914740164,0.35,0.8079459654637821,-0.024640361017200074,-0.09726165639998686,-0.09726165639998686,0.2331496387897098,0.2975260158839033,13.894522342855268,46.884136229127066,35.17622911290259,61.796151104775475,94561549.74311069,60,33767453676.763763,0.0424,0.15125737865729166,48.816613540330586,70.23098987484578,72.83662740862027,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
601398.SHG,601398.SHG,NAME:industrialandcommercialbankofchinaltd,Industrial and Commercial Bank of China Ltd,China,Mainland China,Financials,CNY,Banks - Diversified,0.0,0.0,Hold,64.92772628401909,64.92772628401909,90.19290220448892,87.76253558003042,36.35416666666667,81.00001336983581,0.35,0.040999999999999995,0.1877645626588777,-0.1301093769737614,0.35,0.7628283001242551,0.011305978855962462,-0.05441161807464473,-0.05441161807464473,0.25494115019254465,0.2761206310282359,7.773088296377819,45.58767320593347,31.642798721324056,88.8096935138988,455500068.8520872,60,396674250329.90424,0.040999999999999995,0.692729631756139,42.50712758374911,92.68947721794964,76.83705817896889,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
600036.SHG,600036.SHG,NAME:chinamerchantsbankcoltd,China Merchants Bank Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,64.90018227828114,64.90018227828114,95.90405687305628,87.3262572039032,48.77083333333333,86.71868425443364,0.35,0.10310000000000001,0.16940325520256289,-0.0846298598009072,0.35,0.7225347977557612,0.04421612624505128,-0.015075013075845724,-0.015075013075845724,0.2869411501925447,0.27017311703472596,2.1535732965493892,46.62449851437463,28.60328268041995,90.52031361368496,520194234.70063996,60,144633145484.21426,0.10310000000000001,0.43419559246677975,42.50712758374911,88.6196429069224,75.69237115787838,False,False,True,False,True,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,alt_data_review;narrative_review;
002236.SHE,002236.SHE,NAME:zhejiangdahuatechnologycoltd,Zhejiang Dahua Technology Co Ltd,China,Mainland China,Industrials,CNY,Security & Protection Services,0.0,0.0,Hold,64,64,78.49887926843061,63.83808066600699,68.97916666666667,71.77379906466153,0.35,0.0326,0.30649069034772697,-0.47904958347525317,0.35,1.044054092367042,-0.20663919749550874,-0.3139109391172132,-0.3139109391172132,0.2319554053600429,0.3632761771380658,44.8444198738876,54.40638841993297,53.97382626189289,63.934426229508205,103320892.82816017,60,8137396958.732411,0.0326,0.05896843262748528,93.97536052511612,54.3773715083812,71.00056445251563,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
