security_id,ticker,company_name,region,country,currency,sector,market_cap_usd,avg_daily_traded_value_usd,dividend_yield,dividend_growth_5y,payout_ratio,positive_fcf_years_5,free_cash_flow_yield,fcf_margin,fcf_stability,cfo_to_net_income,net_debt_to_ebitda,interest_coverage,roe,roic,pe_ratio,pb_ratio,ev_ebitda,dividend_cut_flag_3y,cash_flow_quality_score,balance_sheet_strength_score,dividend_safety_score,valuation_score,valuation_percentile,volatility_1y,beta_1y,max_drawdown_1y,momentum_6m,liquidity_score,days_to_liquidate,news_sentiment_30d,news_sentiment_90d,negative_news_intensity,controversy_score,dividend_risk_score,management_confidence_score,regulatory_risk_score,credit_stress_score,ownership_flow_momentum,liquidity_stress_score,sentiment_momentum,regime_label,regime_probability,regime_suitability_score,sentiment_alt_signal_score,ml_expected_risk_adjusted_return_score,correlation_with_current_portfolio,incremental_portfolio_volatility,incremental_portfolio_var,incremental_portfolio_cvar,incremental_dividend_income,marginal_risk_contribution,diversification_benefit_score,passes_hard_filters,final_recommendation_score,recommendation,target_weight,risk_management_flags,expected_total_return,expected_volatility,risk_adjusted_return,var_5,cvar_5,p5_return,p50_return,p95_return,horizon_months
WOLF020,WLF020,Wolf China Consumer Staples 20,Mainland China,China,CNY,Consumer Staples,21194932065.528687,81038051.37253623,0.024858134445424177,0.08769377786129426,0.5360724256126665,2,0.09536507631468712,0.2376077188901959,91.40791117870153,1.773372133037172,1.4964031296844107,14.122843891069925,0.0860501862382348,0.03236614258446973,19.05821368593501,2.7567790829523178,13.11175359154245,0,85.1565822357403,57.914015308879335,57.63985602635001,38.54166666666667,0.38541666666666674,0.3622977545159882,0.00172946245700804,-0.3624917295252019,0.6991326158819631,58.333333333333336,0.024679764211085156,0.35787661667290893,0.2185473424711995,1.7236009017806257,1.0062881416177527,42.73795194398599,50.39969280433931,85.59796478955623,36.14972014721795,-0.5973383929690954,54.7061221136174,0.13932927420170943,Risk-on recovery,0.68,82.0,56.57568888677036,43.494495035770015,0.5854166666666667,0.013608809404006807,0.025360842816119177,0.03622977545159883,745.7440333627253,95.83333333333334,68.83536131114974,False,62.5987309942956,Exclude,0.0,regulatory_risk;,0.07242906722271208,0.2561831990269144,0.2827237207507224,-0.35027321117169663,-0.4527464907824624,-0.35027321117169663,0.07242906722271208,0.4951313456171208,6
WOLF013,WLF013,Wolf China Healthcare 13,Mainland China,China,CNY,Healthcare,70276131239.5648,24967367.526532173,0.06198209059891972,0.0978708061172901,0.5042495950906771,5,0.09721116309904326,0.15401525250594691,50.636648788090696,0.7189552060276592,0.7820366349797738,3.570977494229111,0.23823926344627883,0.07788646131221946,10.148901675589572,1.8049190855337944,14.794892136373347,0,64.40021515122807,51.710880900082984,84.4770934560664,51.87499999999999,0.5187499999999999,0.22770554419546163,0.00031919562181527753,-0.1346882571464122,-0.06809253233963508,16.666666666666664,0.08010456039767316,-0.24506026239236306,0.47363433754548784,3.392823396474512,23.319168670345558,64.71247155445882,54.14577776979346,51.331098239109885,27.28046496486418,0.3086270391284238,68.65369249898887,-0.7186945999378509,Risk-on recovery,0.68,82.0,40.75271360248228,35.08124315587219,0.41041666666666665,0.007357735396815854,0.015939388093682314,0.022770554419546164,1859.4627179675917,45.83333333333333,91.12490687856966,False,61.90907902670452,Exclude,0.0,,0.017372538831532842,0.16101213441438403,0.10789583589285595,-0.24829748295220078,-0.3127023367179544,-0.24829748295220078,0.017372538831532842,0.28304256061526645,6
WOLF022,WLF022,Wolf Germany Financials 22,DACH,Germany,EUR,Financials,63323594078.20017,38859263.683080845,0.05726975695627594,0.09713325582149454,0.6109955182602855,4,0.08188886666090794,0.26067074207553353,42.15508574214117,0.9425345755273713,1.3827101031922004,10.1071756532039,0.1530986346871384,0.17321869039942173,14.274124457478251,2.652079921360795,9.69977140881579,0,68.48136290370195,70.24316646437703,74.9334453768262,56.041666666666664,0.5604166666666667,0.32357780676210907,-0.0008347140649773615,-0.322076074582651,-0.03377104161211042,29.166666666666668,0.05146777911982906,-0.3581767463877041,-0.2291799439471267,2.163753302389557,31.161701496611812,19.323356795281885,72.36011954716137,10.751735760436523,56.48217302039537,-1.1378930121121866,15.296254083714969,-0.12899680244057737,Risk-on recovery,0.68,58.0,37.62127152215675,28.269499418728515,0.5125,0.011446564914209607,0.022650446473347637,0.03235778067621091,1718.0927086882782,75.0,94.48721132356593,False,61.53062464981695,Exclude,0.0,,0.021880670155715886,0.22880406140295764,0.09563060210360866,-0.3556460311591642,-0.4471676557203472,-0.3556460311591642,0.021880670155715886,0.39940737147059596,6
WOLF012,WLF012,Wolf United Kingdom Technology 12,UK,United Kingdom,GBP,Technology,87392124171.1464,107388292.31601933,0.035570039043368695,-0.0024890333939484,0.44221954001248776,5,0.10080124171587786,0.17577618425985306,91.24425448804136,1.4667278942142454,0.6903918121107466,13.324809265517631,0.09063976144946483,0.10871768555670246,21.077662264320068,4.345799499706686,5.751865284321632,0,82.70779650641741,74.60488990565914,50.194511499687806,49.791666666666664,0.4979166666666667,0.34643818011393923,-0.00036837988482992716,-0.33527070793817915,-0.18972591226232105,87.5,0.018624004133657838,-0.045290664283674606,0.12722077936819587,0.5289774076844115,48.4560940274277,24.144122563289628,43.06727053617633,13.979314059146766,44.101313230095194,-0.8396291970162162,33.845673122960406,-0.1725114436518705,Risk-on recovery,0.68,58.0,41.69352825829125,22.541797784326832,0.5562499999999999,0.012709950732930145,0.024250672607975747,0.03464381801139393,1067.101171301061,87.5,83.85895207350384,True,61.402709616951256,Watchlist,0.0,,-0.020160162930779865,0.244968786420493,-0.08229686412445465,-0.4243586605245933,-0.5223461750927905,-0.4243586605245933,-0.020160162930779865,0.38403833466303355,6
WOLF004,WLF004,Wolf Netherlands Financials 4,EU ex-DACH,Netherlands,EUR,Financials,68741433477.14142,94755588.02268055,0.0634591974072211,0.005961264762060416,0.5086802280550353,4,0.0941245957647621,0.06786699428051324,87.10839827323409,1.613923095046399,2.76519740207123,7.252478430910729,0.10991829920651405,0.03122607389374176,9.759527430813488,1.294262804743478,4.711953943575146,0,66.5883463213135,33.63839396878604,68.53299429862412,86.25,0.8625,0.3245171497064524,3.5057765183667886e-05,-0.2541986571022543,-0.02363446466091179,70.83333333333334,0.021106934606550942,0.3355641633903384,0.1765130423034421,2.37190860595933,36.59707845345249,20.6184662073698,38.209777776384215,66.07621879775797,28.25882381499764,0.026114278892919656,88.71013014130159,0.15905112108689629,Risk-on recovery,0.68,58.0,50.628744348299065,28.447766406961016,0.5270833333333333,0.011621770423862325,0.02271620047945167,0.032451714970645244,1903.775922216633,79.16666666666666,93.02706729575367,True,60.828837262622805,Watchlist,0.0,liquidity_stress;,0.02700270577142819,0.22946827716876253,0.11767511441927565,-0.35161995155702996,-0.44340726242453493,-0.35161995155702996,0.02700270577142819,0.4056253630998864,6
WOLF019,WLF019,Wolf United Kingdom Healthcare 19,UK,United Kingdom,GBP,Healthcare,12563013974.856976,58133181.29466018,0.041193140988978125,0.07279633741546049,0.7050557180376813,2,0.0866086869237509,0.25766304210061475,71.66224229188178,1.53342865387595,3.2481378401024625,16.173250833594345,0.08672753238244182,0.1701793980612585,20.814414277609096,2.4876712348200014,13.896778407937346,1,81.62411512504303,63.23661506453462,43.623607049057966,35.625,0.35625,0.13991810371029725,-9.092028986072351e-05,-0.2193037889178273,-0.07652535246224601,50.0,0.034403759702442256,0.01894589409096894,0.023114070547505597,0.9375882757754332,23.392700255948785,48.14807325907967,40.208269910447825,63.878941048305244,26.151629739410502,-0.4303234324226248,23.9117247221676,-0.004168176456536658,Risk-on recovery,0.68,82.0,46.6356157744832,41.89341789162007,0.29375,0.004031390363152939,0.009794267259720808,0.013991810371029726,1235.7942296693438,12.5,87.74770300471815,False,60.13386723412631,Exclude,0.0,,0.005291500002039859,0.09893703994431383,0.053483508350544454,-0.15795461590607796,-0.19752943188380345,-0.15795461590607796,0.005291500002039859,0.16853761591015765,6
WOLF011,WLF011,Wolf Netherlands Industrials 11,EU ex-DACH,Netherlands,EUR,Industrials,68469808867.598274,43834064.239324465,0.06274680820342497,0.0074243480801850364,0.37389958258821493,3,0.07143799600252358,0.11524813045749255,55.64108872076825,0.7501876083643055,1.8736270990364603,13.256646892436747,0.1324015967035147,0.13254034572614198,9.629344921889183,4.34266250458516,4.440266710638291,0,48.83842716113004,65.50315483710284,71.48584376862796,73.75,0.7375,0.16159169256095066,0.0001270209570946465,-0.10144095337271986,0.01081778520447263,33.33333333333333,0.045626615617489506,0.19066293513870206,-0.032956371260763256,2.837181624970827,43.727041148825,51.76845991227972,53.427797650304015,71.9834672798425,9.001119040013066,0.4966961101706322,65.2453335819062,0.2236193063994653,Risk-on recovery,0.68,58.0,46.54490712420758,42.343109225235764,0.3520833333333333,0.0049386461038940545,0.011311418479266547,0.016159169256095066,1882.404246102749,29.166666666666668,84.75788428110256,False,59.94356227492381,Exclude,0.0,,0.033536961142607014,0.11426258159326,0.2935078192263184,-0.15499629848627197,-0.20070133112357597,-0.15499629848627197,0.033536961142607014,0.222070220771486,6
WOLF015,WLF015,Wolf Germany Utilities 15,DACH,Germany,EUR,Utilities,14731764794.011757,82599776.48260964,0.05077858709714328,0.03799830602004886,0.5124905050721289,2,0.09059717578059803,0.08794467940821579,44.726097112862426,1.0128109407760548,2.014398722122657,5.768694208668781,0.09152155080803254,0.1555065996835224,10.922239775410393,3.230725914897425,7.746204179318668,0,54.07332883033303,51.96562636606645,63.021070706530104,57.70833333333333,0.5770833333333333,0.331476898264451,0.0009476972351202174,-0.3666923744509476,-0.05550883112785876,62.5,0.024213140581815923,0.1625761772959315,0.26476219258066347,1.3139527474489479,19.915426326901738,75.29518729059136,31.581385458925755,23.467264311761042,54.769507655237604,-1.3263868936459844,64.25026753706899,-0.10218601528473198,Risk-on recovery,0.68,82.0,49.93572141002113,27.094127360647455,0.5416666666666667,0.01201603756208635,0.02320338287851157,0.0331476898264451,1523.3576129142984,83.33333333333334,92.10330270672958,False,59.02119039252259,Exclude,0.0,,0.014287527322999887,0.23438956256947663,0.06095632914014611,-0.37245525091663656,-0.4662110759444272,-0.37245525091663656,0.014287527322999887,0.4010303055626363,6
WOLF009,WLF009,Wolf Switzerland Utilities 9,DACH,Switzerland,CHF,Utilities,50358046044.409294,9530436.220292687,0.04888614086902683,0.07038087682378354,0.7609179046789996,2,0.0578474107088242,0.2407169034846846,94.57902771090349,1.2007859533591954,3.3600140007765154,15.53161914836122,0.11921977397880443,0.11046207597725598,24.359127028858396,1.2006335265434305,12.250618354441984,0,71.96533174243932,55.27354083597683,60.56038571635835,41.45833333333333,0.4145833333333333,0.21751587277758647,0.00018768262797851624,-0.19806588663572922,-0.06312099584933073,8.333333333333332,0.20985398294167257,0.1108262994677035,-0.059148704249746956,3.3049330482712724,27.75074392086729,30.202401657298658,79.03059318019815,61.841968991107784,38.33837528713066,0.3896780244756277,48.21795628979405,0.16997500371745045,Risk-on recovery,0.68,82.0,47.22768113915616,36.02070528155981,0.38125,0.006838155250445375,0.015226111094431054,0.02175158727775865,1466.584226070805,37.5,88.02085920039731,False,58.305101803549036,Exclude,0.0,,0.01181887126464727,0.15380694865674174,0.07684224521626785,-0.24196259401897663,-0.3034853734816733,-0.24196259401897663,0.01181887126464727,0.26560033654827114,6
WOLF016,WLF016,Wolf Switzerland Financials 16,DACH,Switzerland,CHF,Financials,67283831875.79572,116166148.42723678,0.015973105540167207,-0.015154583888504524,0.6660803775272359,5,0.07543368693596672,0.060241935260814145,71.02972203466854,1.5573850788997916,0.24516407935878792,10.013976762744596,0.05015989274497422,0.16937735858862782,9.50870834655896,3.0661288337693486,7.707518952738515,0,50.872611073600375,78.65131595390729,25.847990561819103,66.875,0.6687500000000001,0.27350375631125673,-0.0004624316924134451,-0.19305895008921092,0.1966742019156149,95.83333333333334,0.017216719561402555,0.6814093210593242,0.06926119594972635,1.3246002796498622,1.3940052669759995,9.569642016753397,65.09419023116385,45.232774521446764,57.905324015074946,-0.16178718109849086,11.00728666688605,0.6121481251095978,Risk-on recovery,0.68,58.0,63.08793556122762,38.03655454298983,0.46875,0.009316221699352182,0.019145262941787974,0.027350375631125676,479.1931662050162,62.5,90.40476781723368,True,57.5522515635528,Watchlist,0.0,,0.04732139315320659,0.19339636076768263,0.2446860580280071,-0.2717826021134697,-0.3491411464205427,-0.2717826021134697,0.04732139315320659,0.3664253884198829,6
