provider,enabled,credential_required,credential_available,available,asset_classes,regions,base_url
alpaca,True,True,True,True,equities,US,
alpha_vantage,True,True,True,True,"equities,fundamentals,dividends,fx,macro,commodities,news,sentiment","DACH,EU ex-DACH,UK,US,Mainland China,Hong Kong",https://www.alphavantage.co
bank_of_england,True,False,True,True,"rates,fx,credit,money",UK,https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp
china_data,True,False,True,True,"macro,trade,inflation,demographics",Mainland China,https://chinadata.live/api/v2
ecb,True,False,True,True,"macro,rates,fx,credit","DACH,EU ex-DACH",https://data-api.ecb.europa.eu/service
eodhd,True,True,True,True,"equities,fundamentals,dividends,fx,indices,macro,news","DACH,EU ex-DACH,UK,US,Mainland China,Hong Kong",https://eodhd.com/api
finnhub,True,True,True,True,"equities,fundamentals,dividends,fx,macro,news,sentiment","DACH,EU ex-DACH,UK,US,Mainland China,Hong Kong",https://finnhub.io/api/v1
frankfurter,True,False,True,True,fx,"DACH,EU ex-DACH,UK,US,Mainland China,Hong Kong",https://api.frankfurter.dev/v2
fred,True,True,True,True,"macro,rates,credit,volatility","US,DACH,EU ex-DACH,UK,Mainland China,Hong Kong",https://api.stlouisfed.org/fred
hkma,True,False,True,True,"macro,rates,fx,banking",Hong Kong,https://api.hkma.gov.hk/public
itick,True,True,True,True,"equities,fx","US,Mainland China,Hong Kong",https://api.itick.org
ons,True,False,True,True,"macro,labour,inflation,demographics",UK,https://api.beta.ons.gov.uk/v1
yfinance,True,False,True,True,"equities,indices,fx","DACH,EU ex-DACH,UK,US,Mainland China,Hong Kong",
